                                    lz                                    | mp_code |                mp_name                |     mn_name      |      dc_name       |  pr_name   
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970038 | Ga-Modikana                           | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970025 | Ga-Mokobodi                           | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970006 | Ga-Motlagomo                          | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970045 | Ga-Ngwetsana                          | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970034 | Ga-Nonyane                            | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970014 | Ga-Phagodi                            | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970030 | Ga-Piet                               | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970056 | Ga-Ramakara                           | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970036 | Ga-Rametlwana                         | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970046 | Ga-Ramokadi-Kadi                      | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970035 | Ga-Ramoshwane                         | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970023 | Ga-Ramotlokana                        | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970044 | Ga-Rampuru                            | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970028 | Ga-Rankuwa                            | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970020 | Ga-Sebotse                            | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970054 | Ga-Sechaba                            | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970083 | Glen-Roy                              | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970040 | Goedgevonden                          | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970055 | Helena                                | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970042 | Hwibi                                 | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970032 | Juno                                  | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970075 | Jupiter                               | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970061 | Kalkspruit A                          | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970007 | Kameelkop                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970009 | Kanana                                | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970019 | Leokanong                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970063 | Lepotlako                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970065 | Madietane                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970057 | Makgobane                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970022 | Mamehlabe                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970074 | Maraba                                | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970043 | Matlala                               | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970085 | Matlaleng                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970017 | Modderput                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970004 | Mohlajeng                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970079 | Mohlonong                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970024 | Moletji                               | Aganang          | Capricorn          | Limpopo
 59251 - ZALCV: North central Limpopo cattle and vegetables               |  970024 | Moletji                               | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970031 | Moneywaneng                           | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970076 | Monotwane                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970015 | Morowe                                | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970071 | Naledi                                | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970018 | Ngwanallela                           | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970068 | Nokayamatlala                         | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970051 | Ntlolane                              | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970069 | Phetole                               | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970067 | Phofu                                 | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970052 | Ramalapa                              | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970027 | Rapitsi                               | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970033 | Schoongelegen                         | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970072 | Sefahlane                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970087 | Segwahleng                            | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970008 | Sekuruwe                              | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970089 | Seroba                                | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970058 | Setumong                              | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970084 | Takalane                              | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970049 | Taung                                 | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970039 | Tibane                                | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970088 | Utsane                                | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970073 | Venus                                 | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970060 | Waschbank                             | Aganang          | Capricorn          | Limpopo
 59881 - ZAULM: Urban, residential, low-rise affluent and middle-income   |  969001 | Alldays                               | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969102 | Amosotho                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969031 | Archibalt                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969124 | Aurora                                | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969059 | Avon                                  | Blouberg         | Capricorn          | Limpopo
 59880 - ZAULT: Formal residential in traditional tenure                  |  969059 | Avon                                  | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969040 | Bahananoa                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969113 | Bayswater                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969051 | Bergendal                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969017 | Berseba                               | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969055 | Blouberg                              | Blouberg         | Capricorn          | Limpopo
 59151 - ZALER: Central Limpopo cattle ranching                           |  969002 | Blouberg Munic NU                     | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969002 | Blouberg Munic NU                     | Blouberg         | Capricorn          | Limpopo
 59251 - ZALCV: North central Limpopo cattle and vegetables               |  969002 | Blouberg Munic NU                     | Blouberg         | Capricorn          | Limpopo
 59351 - ZALIC: Limpopo River intensive crop farming                      |  969002 | Blouberg Munic NU                     | Blouberg         | Capricorn          | Limpopo
 59903 - ZAPRO: Protected nature, forest or game reserve, gazetted        |  969002 | Blouberg Munic NU                     | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969104 | Bobirwa                               | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969097 | Bochum                                | Blouberg         | Capricorn          | Limpopo
 59802 - ZAUCO: Urban, commercial / mercantile                            |  969097 | Bochum                                | Blouberg         | Capricorn          | Limpopo
 59852 - ZAUUH: Urban, residential, municipal high-rise high unemployment |  969097 | Bochum                                | Blouberg         | Capricorn          | Limpopo
 59881 - ZAULM: Urban, residential, low-rise affluent and middle-income   |  969097 | Bochum                                | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969074 | Bodi                                  | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969046 | Borwalathoto                          | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969063 | Boshia                                | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969116 | Botlokwa                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969072 | Brodie Hill A                         | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969078 | Brodie Hill B                         | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969041 | Buffelshoek                           | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969057 | Bull-Bull                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969033 | Burgerrecht                           | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969085 | Callashield                           | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969043 | Danzight                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969091 | De Villiersdale                       | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969079 | Ditatsu                               | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969086 | Driekopies                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969032 | Edwinsdale                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969018 | Eldorado                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969020 | Essoubinca                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969008 | Ga-Dankie                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969090 | Ga-Hlako A                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969084 | Ga-Hlako B                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969009 | Ga-Kibi                               | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969069 | Ga-Kobe                               | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969022 | Ga-Mabelebele                         | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969105 | Ga-Mabotha                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969067 | Ga-Machaba                            | Blouberg         | Capricorn          | Limpopo
 59880 - ZAULT: Formal residential in traditional tenure                  |  969067 | Ga-Machaba                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969077 | Ga-Madibeng                           | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969035 | Ga-Motlana                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969080 | Ga-Motshemi                           | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969029 | Ga-Moyaga                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969083 | Ga-Rammutla A                         | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969087 | Ga-Rammutla B                         | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969100 | Ga-Rampuru                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969061 | Ga-Tshabalala                         | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969107 | GaMabeba                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969092 | GaMakgwata                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969062 | GaMalokela                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969011 | GaMamadi                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969056 | GaMamokhwibidu                        | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969050 | GaMamoleka                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969028 | GaMaphoto                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969103 | GaMasealele                           | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969115 | GaMasekwa                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969081 | GaMmatemana                           | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969006 | GaMoisimane Arie                      | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969108 | GaMojela                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969099 | GaMonyebodi                           | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969095 | GaMoreise                             | Blouberg         | Capricorn          | Limpopo
 59880 - ZAULT: Formal residential in traditional tenure                  |  969095 | GaMoreise                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969110 | GaNgwepe                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969012 | GaRakwele                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969003 | GaRamaswikana                         | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969010 | GaRamotsho                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969053 | GaRamutla                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969121 | GaRaweshe                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969119 | GaRawesi                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969076 | GaSebotlane                           | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969088 | GaTefu                                | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969044 | GaTshabalala                          | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969098 | Gamalebogo                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969021 | Gideon                                | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969037 | Glenfernes                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969015 | Goudmyn                               | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969047 | Indermark                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969042 | Inveraan                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969117 | Kgatu                                 | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969114 | Kgokonyane                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969024 | Kromhoek                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969058 | Lekgokgonoku                          | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969122 | Lekiting                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969039 | Letshwatla                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969030 | Lovely                                | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969106 | Makgabeng                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969025 | Makgari                               | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969082 | Mamelodi                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969094 | Mashaleng                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969052 | Matekereng                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969065 | Mmankgodi                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969005 | Modimvuhusi                           | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969036 | Mokoena Maswikeng                     | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969093 | Mokumuru                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969071 | Mophamamona                           | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969125 | Mosehleng                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969111 | Motsemoswa                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969049 | My Darling                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969109 | Nontz                                 | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969066 | Papegaai                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969027 | Pax Intrantibus                       | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969064 | Pickum                                | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969007 | Raditshaba                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969123 | Rora                                  | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969068 | Seboriane                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969060 | Sekhung                               | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969073 | Sekiding                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969026 | Sekwati                               | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969089 | Selowe                                | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969096 | Senwabarwana                          | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969048 | Sesuane                               | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969112 | Setlaole                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969045 | Setloking                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969004 | Sias                                  | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969016 | Slaaphoek                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969101 | Thabananhlana                         | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969034 | Thebere                               | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969054 | Tiekieline                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969019 | Tlhona                                | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969014 | Tlhonasedimong                        | Blouberg         | Capricorn          | Limpopo
 59881 - ZAULM: Urban, residential, low-rise affluent and middle-income   |  969038 | Tolwe                                 | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969070 | Tsolametse                            | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969075 | Tswatsane                             | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969118 | Uitkyk B                              | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969120 | Vienen                                | Blouberg         | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  969013 | Wegdraai                              | Blouberg         | Capricorn          | Limpopo
